Date,Open,High,Low,Close,Adj Close,Volume,FilteredOpen
2000-01-03,1469.25,1478.0,1438.3599853515625,1455.219970703125,1455.219970703125,931800000,1509.891112892246
2000-01-04,1455.219970703125,1455.219970703125,1397.4300537109375,1399.4200439453125,1399.4200439453125,1009000000,1460.4230775686406
2000-01-05,1399.4200439453125,1413.27001953125,1377.6800537109375,1402.1099853515625,1402.1099853515625,1085500000,1438.6585161229425
2000-01-06,1402.1099853515625,1411.9000244140625,1392.0999755859375,1403.449951171875,1403.449951171875,1092300000,1386.2790162579763
2000-01-07,1403.449951171875,1441.469970703125,1400.72998046875,1441.469970703125,1441.469970703125,1225200000,1399.262687851912
2000-01-10,1441.469970703125,1464.3599853515625,1441.469970703125,1457.5999755859375,1457.5999755859375,1064800000,1427.8823238161738
2000-01-11,1457.5999755859375,1458.6600341796875,1434.4200439453125,1438.56005859375,1438.56005859375,1014000000,1448.2526566376248
2000-01-12,1438.56005859375,1442.5999755859375,1427.0799560546875,1432.25,1432.25,974600000,1460.7782250286805
2000-01-13,1432.25,1454.199951171875,1432.25,1449.6800537109375,1449.6800537109375,1030400000,1467.1698103515935
2000-01-14,1449.6800537109375,1473.0,1449.6800537109375,1465.1500244140625,1465.1500244140625,1085900000,1480.147800279902
2000-01-18,1465.1500244140625,1465.1500244140625,1451.300048828125,1455.1400146484375,1455.1400146484375,1056700000,1488.4530053735846
2000-01-19,1455.1400146484375,1461.3900146484375,1448.6800537109375,1455.9000244140625,1455.9000244140625,1087800000,1480.6554137137698
2000-01-20,1455.9000244140625,1465.7099609375,1438.5400390625,1445.5699462890625,1445.5699462890625,1100700000,1465.9706513713631
2000-01-21,1445.5699462890625,1453.1800537109375,1439.5999755859375,1441.3599853515625,1441.3599853515625,1209800000,1452.10871365172
2000-01-24,1441.3599853515625,1454.0899658203125,1395.4200439453125,1401.530029296875,1401.530029296875,1115800000,1438.2065994345999
2000-01-25,1401.530029296875,1414.260009765625,1388.489990234375,1410.030029296875,1410.030029296875,1073700000,1425.8342421474415
